64,1989,2,1,0,FALSE,88,TRUE,FALSE,FALSE,TRUE
65,2004,4,1,2,TRUE,S95,FALSE,FALSE,FALSE,TRUE
66,2004,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
67,2003,0,0,2,TRUE,S95,TRUE,FALSE,TRUE,TRUE
68,1988,0,0,0,TRUE,88,TRUE,TRUE,FALSE,TRUE
69,2001,2,2,1,TRUE,S95,TRUE,FALSE,FALSE,TRUE
70,1999,0,0,0,FALSE,S96,FALSE,FALSE,TRUE,TRUE
71,2000,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
72,2002,4,0,1,FALSE,S95,FALSE,FALSE,FALSE,TRUE
73,1989,1,1,0,TRUE,88,TRUE,TRUE,FALSE,TRUE
74,2005,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
75,2004,0,0,0,TRUE,1995,FALSE,FALSE,FALSE,TRUE
76,2002,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,TRUE
77,2003,2,0,1,FALSE,S95,FALSE,FALSE,TRUE,TRUE
78,2005,2,0,1,TRUE,1995,FALSE,FALSE,FALSE,TRUE
79,2005,3,0,1,TRUE,1995,FALSE,FALSE,FALSE,TRUE
80,1994,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,TRUE
81,2003,2,0,0,TRUE,S95,FALSE,FALSE,TRUE,TRUE
82,2002,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,TRUE
83,2000,0,0,2,TRUE,S95,FALSE,FALSE,TRUE,TRUE
84,1994,0,0,4,FALSE,88,FALSE,FALSE,FALSE,TRUE
85,2002,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,TRUE
86,2002,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,TRUE
87,2002,0,0,0,TRUE,1995,FALSE,FALSE,FALSE,TRUE
88,2002,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
89,2003,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,TRUE
90,2003,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,TRUE
91,2002,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
92,2002,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,TRUE
93,2002,3,4,1,TRUE,S95,FALSE,FALSE,FALSE,TRUE
94,2001,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
95,2002,3,0,2,TRUE,S95,FALSE,FALSE,FALSE,TRUE
96,2001,2,0,1,TRUE,S95,TRUE,FALSE,FALSE,TRUE
97,1996,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,TRUE
98,1986,0,0,0,TRUE,88,TRUE,FALSE,TRUE,TRUE
99,2001,3,2,2,TRUE,S95,TRUE,TRUE,FALSE,TRUE
100,2000,4,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
101,1999,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
102,1987,0,0,0,TRUE,88,FALSE,FALSE,FALSE,TRUE
103,2002,3,0,5,TRUE,S95,TRUE,TRUE,FALSE,TRUE
104,2001,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
105,2002,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,TRUE
106,2004,0,0,0,FALSE,S95,FALSE,FALSE,TRUE,TRUE
107,1989,0,0,0,TRUE,88,FALSE,FALSE,FALSE,TRUE
108,2005,0,0,0,FALSE,S95,FALSE,FALSE,TRUE,TRUE
110,2004,0,0,0,FALSE,S95,FALSE,FALSE,TRUE,TRUE
111,2005,0,0,0,FALSE,1995,FALSE,FALSE,TRUE,TRUE
112,2004,0,0,0,TRUE,1995,FALSE,FALSE,FALSE,FALSE
113,1999,2,0,1,TRUE,S95,TRUE,FALSE,FALSE,TRUE
114,2003,1,0,2,TRUE,S95,FALSE,FALSE,FALSE,TRUE
115,2001,2,0,3,TRUE,S95,FALSE,FALSE,FALSE,TRUE
116,2005,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
117,2006,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,TRUE
118,2003,0,0,0,FALSE,S95,FALSE,FALSE,TRUE,TRUE
119,1999,3,2,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
120,2004,0,0,0,FALSE,1995,FALSE,FALSE,TRUE,TRUE
121,2006,0,0,1,FALSE,1995,FALSE,FALSE,FALSE,TRUE
122,2002,0,0,2,TRUE,S95,FALSE,FALSE,FALSE,TRUE
123,2005,0,0,0,FALSE,1995,FALSE,FALSE,TRUE,TRUE
124,2003,1,1,0,TRUE,S95,FALSE,FALSE,FALSE,TRUE
125,1999,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,TRUE
